section,document_title,status,site_url,local_filename,source_author,document_date,last_reviewed,notes
Annual Reports,Hall of Fame Induction 2026,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Induction-2026.pdf,RDCA-Hall-of-Fame-Induction-2026.pdf,"RDCA — confirmed, read from the document",2008/09,NOT RECORDED,
Annual Reports,Hall of Fame Program 2025,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Program-2025.pdf,RDCA-Hall-of-Fame-Program-2025.pdf,"RDCA — confirmed, read from the document",2025,NOT RECORDED,
Annual Reports,RDCA Annual Report 2024/25,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Annual-Report-2024-25.docx,RDCA-Annual-Report-2024-25.docx,"RDCA — confirmed, read from the document",2024/2025,NOT RECORDED,
Annual Reports,RDCA Annual Report 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Annual-Report-2025-26.pdf,RDCA-Annual-Report-2025-26.pdf,"RDCA — confirmed, read from the document",2025/2026,NOT RECORDED,
Child Safety,'Looking After Our Kids' Code of Behaviour,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/7587ce1b-83d1-4c80-aa92-8d085ec1faf0/Australian-Cricket-s-Looking-After-Our-Kids-Code-of-Behaviour.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Child Safety,Commitment to Safeguarding Children & Young People,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/850b4058-29f6-4d85-a3d8-b44202221d7c/Australian-Cricket-s-Statement-of-Commitment-for-Safeguarding-Children-and-Young-People.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Child Safety,Cricket Victoria Member Protection Policy 2024,EXTERNAL-STABLE,https://www.cricketvictoria.com.au/wp-content/uploads/2024/11/2024-Member-Protection-Policy.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Victoria is the publisher of record; RDCA does not control availability
Child Safety,Member Protection Policy By-Law,EXTERNAL-STABLE,https://www.cricketvictoria.com.au/wp-content/uploads/2021/12/Member-Protection-Policy-ByLaw-07-12-2021.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Victoria is the publisher of record; RDCA does not control availability
Child Safety,Safeguarding Children & Young People Policy,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/9ddd3384-e1e0-4488-9d3a-dc25eaeefa71/Australian-Cricket-s-Policy-for-Safeguarding-Children-Young-People.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Forms & Rules,Adverse Weather Policy 2026-27,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Adverse-Weather-Policy-2026-27.pdf,Adverse-Weather-Policy-2026-27.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Forms & Rules,Clearances & Transfers Guide,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Clearances-Transfers-Guide.pdf,Clearances-Transfers-Guide.pdf,"RDCA — confirmed, read from the document",UNCONFIRMED,NOT RECORDED,
Forms & Rules,Registration Form,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Registration-Form.pdf,Registration-Form.pdf,"RDCA — confirmed, read from the document",2010,NOT RECORDED,
Honours — Hall of Fame,B. (Bruce) Sansom — induction program,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Induction-2026.pdf,RDCA-Hall-of-Fame-Induction-2026.pdf,"RDCA — confirmed, read from the document",2008/09,NOT RECORDED,
Honours — Hall of Fame,D. (Drew) Mckay — induction program,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Induction-2026.pdf,RDCA-Hall-of-Fame-Induction-2026.pdf,"RDCA — confirmed, read from the document",2008/09,NOT RECORDED,
Honours — Hall of Fame,S. (Sarah) Smith — induction program,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Induction-2026.pdf,RDCA-Hall-of-Fame-Induction-2026.pdf,"RDCA — confirmed, read from the document",2008/09,NOT RECORDED,
Honours — Hall of Fame,W. (Bill) Oliver — induction program,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Hall-of-Fame-Program-2025.pdf,RDCA-Hall-of-Fame-Program-2025.pdf,"RDCA — confirmed, read from the document",2025,NOT RECORDED,
Honours — Life Members,Adrian Hammond — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Adrian-Hammond-2009-10.pdf,Adrian-Hammond-2009-10.pdf,"Cricket Victoria — confirmed, read from the document",2009/10,NOT RECORDED,
Honours — Life Members,Bill Stafford — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Bill-Stafford-2012-13.pdf,Bill-Stafford-2012-13.pdf,"VMCU — confirmed, read from the document",2012/2013,NOT RECORDED,
Honours — Life Members,Greg Mitchell — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Greg-Mitchell-2014-15.docx,Greg-Mitchell-2014-15.docx,UNCONFIRMED,2014,NOT RECORDED,
Honours — Life Members,Gregor Mason — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Gregor-Mason-2019-20.pdf,Gregor-Mason-2019-20.pdf,UNCONFIRMED,2019/20,NOT RECORDED,
Honours — Life Members,Ian Dench — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Ian-Dench-2014-15.pdf,Ian-Dench-2014-15.pdf,UNCONFIRMED,2014/2015,NOT RECORDED,
Honours — Life Members,Ian Spencer — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Ian-Spencer-2009-10.pdf,Ian-Spencer-2009-10.pdf,"Cricket Australia — confirmed, read from the document",2009/2010,NOT RECORDED,
Honours — Life Members,John Springett * — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/John-Springett-2007-08.pdf,John-Springett-2007-08.pdf,UNCONFIRMED,2007/2008,NOT RECORDED,
Honours — Life Members,Josh Browne * — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Josh-Browne-2009-10.pdf,Josh-Browne-2009-10.pdf,"Cricket Victoria — confirmed, read from the document",2009/2010,NOT RECORDED,
Honours — Life Members,Stuart Minetti — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Stuart-Minetti-2021-22.pdf,Stuart-Minetti-2021-22.pdf,"Cricket Victoria — confirmed, read from the document",2021/22,NOT RECORDED,
Honours — Life Members,Tim Court — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Tim-Court-2011-12.pdf,Tim-Court-2011-12.pdf,"Cricket Victoria — confirmed, read from the document",2011/2012,NOT RECORDED,
Honours — Life Members,Tony Gawne — life member record,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Tony-Gawne-2012-13.pdf,Tony-Gawne-2012-13.pdf,UNCONFIRMED,2007/08,NOT RECORDED,
Juniors,Junior Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,"Register entry points at a website page, not a file"
News — Archived posts,Celebration Wine available 100 years for the RDCA,SOURCE-REFERENCE,https://www.rdca.com/post/celebration-wine-available-100-years-for-the-rdca,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Check out Saxon's online Store,SOURCE-REFERENCE,https://www.rdca.com/post/check-out-saxon-s-online-store,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Covid safe help is here,SOURCE-REFERENCE,https://www.rdca.com/post/covid-safe-help-is-here,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,"Exciting News,",SOURCE-REFERENCE,https://www.rdca.com/post/exciting-news,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Junior Trophy Collection,SOURCE-REFERENCE,https://www.rdca.com/post/junior-trophy-collection,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,More Covid products - 70% Alcohol wipes,SOURCE-REFERENCE,https://www.rdca.com/post/more-covid-products-70-alcohol-wipes,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,RDCA & SAXON SPORTS supporting the Mukti Australia Cricket Project,SOURCE-REFERENCE,https://www.rdca.com/post/rdca-saxon-sports-supporting-the-mukti-australia-cricket-project,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Ringwood & District Cricket Association Merger with Yarra Valley CA - Special Meeting,SOURCE-REFERENCE,https://www.rdca.com/post/ringwood-district-cricket-association,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Thank you Craig from Trackon.,SOURCE-REFERENCE,https://www.rdca.com/post/thank-you-craig-from-trackon,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Thank you Mandy,SOURCE-REFERENCE,https://www.rdca.com/post/thank-you-mandy,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Umpires wanted,SOURCE-REFERENCE,https://www.rdca.com/post/umpires-wanted,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,"Welcome to new sponsor All Weather Mini Diggers, great to have you on board for 20/21",SOURCE-REFERENCE,https://www.rdca.com/post/welcome-to-new-sponsor-all-weather-mini-diggers-great-to-have-you-on-board-for-20-21,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
News — Archived posts,Who wants to be on a Magazine Cover,SOURCE-REFERENCE,https://www.rdca.com/post/who-wants-to-be-on-a-magazine-cover,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Post content migrated into the site; this row records the original URL
Policies,Good Sports / Illegal Drug Policy,SOURCE-REFERENCE,https://www.rdca.com/good-sports-policy,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Text restored into the site and served from https://rdca-sportsweb-version2.vercel.app/good-sports-policy.html; this row records where it came from
Policies,Privacy Policy,SOURCE-REFERENCE,https://www.rdca.com/privacy-policy,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Text restored into the site and served from https://rdca-sportsweb-version2.vercel.app/privacy-policy.html; this row records where it came from
Policies,Social Media Policy,SOURCE-REFERENCE,https://www.rdca.com/social-media-policy,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Text restored into the site and served from https://rdca-sportsweb-version2.vercel.app/social-media-policy.html; this row records where it came from
Policies,Suspended Players,SOURCE-REFERENCE,https://www.rdca.com/suspended-players,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Text restored into the site and served from https://rdca-sportsweb-version2.vercel.app/suspended-players.html; this row records where it came from
Section — Senior Men,Senior Code of Conduct,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Senior Men,Seniors Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Senior Women,Women's Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Seniors,Senior Code of Conduct,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Seniors,Seniors Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Veterans,Veterans Code of Conduct,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Veterans,Veterans Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Section — Women's,Women's Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Seniors,Senior Rules 2026-27,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Senior-Rules-2026-27.pdf,Senior-Rules-2026-27.pdf,"RDCA — confirmed, read from the document",2025-26,NOT RECORDED,
Seniors,Seniors Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,"Register entry points at a website page, not a file"
Seniors,Umpire Documents,INTERNAL-PAGE,https://rdca-sportsweb-version2.vercel.app/umpire-documents.html,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,"Register entry points at a website page, not a file"
Veterans,Ball Ordering Instructions,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Ball-Ordering-Instructions.pdf,Ball-Ordering-Instructions.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Veterans,Big Bash (Over 40s T20) Rules 2026,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Big-Bash-Over-40s-T20-Rules-2026.docx,Big-Bash-Over-40s-T20-Rules-2026.docx,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
